atom_count,case_id,certificate_bytes,checker_kernel_ms,claim,coefficient_sum_bits,digest_match,generation_ms,max_coefficient_bits,oracle_calls,repetition,strict_margin,trust_level
0,timing_narrow_interval_q1000000,1499,0.411456,positive_weight_supportable,0,True,0.587781,0,3,22,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.413509,positive_weight_supportable,0,True,0.571045,0,3,23,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.573299,positive_weight_supportable,0,True,0.584145,0,3,24,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.702473,positive_weight_supportable,0,True,0.639629,0,3,25,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.656715,positive_weight_supportable,0,True,0.855722,0,3,26,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.614616,positive_weight_supportable,0,True,0.682393,0,3,27,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.445437,positive_weight_supportable,0,True,0.633198,0,3,28,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.385738,positive_weight_supportable,0,True,0.898365,0,3,29,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.538467,positive_weight_supportable,0,True,0.640219,0,3,30,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,72.433834,positive_weight_supportable,0,True,73.131931,0,1,1,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,74.805388,positive_weight_supportable,0,True,69.56002,0,1,2,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,70.288385,positive_weight_supportable,0,True,70.050214,0,1,3,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,73.349477,positive_weight_supportable,0,True,70.013228,0,1,4,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,72.584145,positive_weight_supportable,0,True,75.769552,0,1,5,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,70.348635,positive_weight_supportable,0,True,67.267785,0,1,6,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,94.548439,positive_weight_supportable,0,True,67.046433,0,1,7,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.393851,positive_weight_supportable,0,True,68.082355,0,1,8,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,70.625305,positive_weight_supportable,0,True,68.441974,0,1,9,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,75.48483,positive_weight_supportable,0,True,69.176344,0,1,10,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,76.13627,positive_weight_supportable,0,True,73.749936,0,1,11,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.343646,positive_weight_supportable,0,True,71.581878,0,1,12,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,73.181004,positive_weight_supportable,0,True,67.361084,0,1,13,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,72.089607,positive_weight_supportable,0,True,69.404566,0,1,14,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,152.453608,positive_weight_supportable,0,True,71.368447,0,1,15,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.105764,positive_weight_supportable,0,True,69.111107,0,1,16,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.669283,positive_weight_supportable,0,True,78.868194,0,1,17,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.961607,positive_weight_supportable,0,True,74.295683,0,1,18,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,73.84932,positive_weight_supportable,0,True,69.293759,0,1,19,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,72.565696,positive_weight_supportable,0,True,81.333447,0,1,20,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,72.453534,positive_weight_supportable,0,True,70.660187,0,1,21,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.249019,positive_weight_supportable,0,True,70.939746,0,1,22,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,73.404684,positive_weight_supportable,0,True,67.016408,0,1,23,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,72.75841,positive_weight_supportable,0,True,71.235559,0,1,24,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.061669,positive_weight_supportable,0,True,67.79813,0,1,25,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,73.593651,positive_weight_supportable,0,True,67.984738,0,1,26,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,69.430284,positive_weight_supportable,0,True,71.675017,0,1,27,,P1_FULLY_CHECKABLE
0,timing_shortest_L400_p3_supportable,42140,71.940195,positive_weight_supportable,0,True,67.808454,0,1,28,,P1_FULLY_CHECKABLE
